concelho.y,ano,Pop,H,M
Penacova,2018,13479,6322,7157
Penela,2018,5487,2586,2901
Soure,2018,17461,8256,9205
Tábua,2018,11201,5289,5912
Vila Nova de Poiares,2018,6841,3212,3629
Alvaiázere,2018,6336,2925,3411
Ansião,2018,11809,5574,6235
Batalha,2018,15352,7394,7958
Castanheira de Pêra,2018,2756,1317,1439
Figueiró dos Vinhos,2018,5415,2573,2842
Leiria,2018,127047,60915,66132
Marinha Grande,2018,38566,18527,20039
Pedrógão Grande,2018,3462,1652,1810
Pombal,2018,51244,24275,26969
Porto de Mós,2018,23016,11146,11870
Aguiar da Beira,2018,5411,2517,2894
Carregal do Sal,2018,9152,4278,4874
Castro Daire,2018,13930,6615,7315
Mangualde,2018,18427,8759,9668
Nelas,2018,13171,6179,6992
Oliveira de Frades,2018,9538,4522,5016
Penalva do Castelo,2018,7339,3498,3841
Santa Comba Dão,2018,10688,4997,5691
São Pedro do Sul,2018,15226,7148,8078
Sátão,2018,11101,5213,5888
Tondela,2018,26154,12267,13887
Vila Nova de Paiva,2018,4699,2238,2461
Viseu,2018,98928,46313,52615
Vouzela,2018,9545,4497,5048
Castelo Branco,2018,52887,24914,27973
Idanha-a-Nova,2018,8575,4063,4512
Oleiros,2018,4889,2313,2576
Penamacor,2018,4829,2385,2444
Proença-a-Nova,2018,7287,3517,3770
Vila Velha de Ródão,2018,3219,1526,1693
Abrantes,2018,35234,16828,18406
Alcanena,2018,12658,6068,6590
Constância,2018,3830,1827,2003
Entroncamento,2018,19862,9356,10506
Ferreira do Zêzere,2018,7848,3684,4164
Mação,2018,6455,3064,3391
Ourém,2018,44061,20473,23588
Sardoal,2018,3572,1702,1870
Sertã,2018,14758,7021,7737
Tomar,2018,36868,17199,19669
Torres Novas,2018,34447,16330,18117
Vila de Rei,2018,3261,1504,1757
Vila Nova da Barquinha,2018,6966,3308,3658
Almeida,2018,6095,2820,3275
Belmonte,2018,6206,2967,3239
Celorico da Beira,2018,6729,3183,3546
Covilhã,2018,47362,22470,24892
Figueira de Castelo Rodrigo,2018,5386,2566,2820
Fornos de Algodres,2018,4522,2116,2406
Fundão,2018,26706,12788,13918
Gouveia,2018,12463,5766,6697
Guarda,2018,40513,19258,21255
Manteigas,2018,3041,1422,1619
Meda,2018,4629,2158,2471
Pinhel,2018,8449,4030,4419
Sabugal,2018,11369,5328,6041
Seia,2018,22256,10500,11756
Trancoso,2018,8599,4041,4558
Alcochete,2018,18741,9023,9718
Almada,2018,176381,82685,93696
Amadora,2018,172443,79795,92648
Barreiro,2018,78163,36659,41504
Cascais,2018,212794,98768,114026
Lisboa,2018,555344,256781,298563
Loures,2018,201054,94762,106292
Mafra,2018,83299,40208,43091
Moita,2018,65097,30677,34420
Montijo,2018,53945,25885,28060
Odivelas,2018,148353,69774,78579
Oeiras,2018,172373,79631,92742
Palmela,2018,66464,31808,34656
Seixal,2018,162787,76704,86083
Sesimbra,2018,51233,24810,26423
Setúbal,2018,122642,57936,64706
Sintra,2018,381268,179490,201778
Vila Franca de Xira,2018,137041,65221,71820
Alcácer do Sal,2018,11481,5532,5949
Grândola,2018,13913,6975,6938
Odemira,2018,27646,14755,12891
Santiago do Cacém,2018,27867,13500,14367
Sines,2018,14172,6810,7362
Aljustrel,2018,8861,4328,4533
Almodôvar,2018,6814,3359,3455
Alvito,2018,2274,1073,1201
Barrancos,2018,1578,759,819
Beja,2018,33965,16419,17546
Castro Verde,2018,7005,3373,3632
Cuba,2018,4441,2138,2303
Ferreira do Alentejo,2018,7645,3742,3903
Mértola,2018,6347,3114,3233
Moura,2018,13485,6528,6957
Ourique,2018,4926,2390,2536
Serpa,2018,13903,6836,7067
Vidigueira,2018,5283,2565,2718
Almeirim,2018,22118,10452,11666
Alpiarça,2018,6964,3305,3659
Azambuja,2018,21241,10579,10662
Benavente,2018,28992,13850,15142
Cartaxo,2018,23026,11002,12024
Chamusca,2018,8722,4182,4540
Coruche,2018,17765,8332,9433
Golegã,2018,5443,2548,2895
Rio Maior,2018,20814,10080,10734
Salvaterra de Magos,2018,21234,10097,11137
Santarém,2018,58510,27585,30925
Alter do Chão,2018,3172,1477,1695
Arronches,2018,2917,1425,1492
Avis,2018,3885,1829,2056
Campo Maior,2018,8181,3932,4249
Castelo de Vide,2018,3170,1498,1672
Crato,2018,3342,1578,1764
Elvas,2018,21140,10049,11091
Fronteira,2018,3013,1404,1609
Gavião,2018,3507,1652,1855
Marvão,2018,3114,1485,1629
Monforte,2018,3002,1414,1588
Nisa,2018,6191,2923,3268
Ponte de Sor,2018,15404,7367,8037
Portalegre,2018,22847,10840,12007
Sousel,2018,4443,2056,2387
Alandroal,2018,5145,2481,2664
Arraiolos,2018,6679,3234,3445
Borba,2018,6596,3230,3366
Estremoz,2018,12928,6135,6793
Évora,2018,54270,25640,28630
Montemor-o-Novo,2018,16025,7672,8353
Mora,2018,4319,2052,2267
Mourão,2018,2389,1197,1192
Portel,2018,5725,2794,2931
Redondo,2018,6418,3145,3273
Reguengos de Monsaraz,2018,10002,4824,5178
Vendas Novas,2018,11216,5400,5816
Viana do Alentejo,2018,5395,2575,2820
Vila Viçosa,2018,7564,3652,3912
Albufeira,2018,43641,21213,22428
Alcoutim,2018,2614,1268,1346
Aljezur,2018,5802,2885,2917
Castro Marim,2018,6416,3143,3273
Faro,2018,67232,31777,35455
Lagoa (Algarve),2018,23170,11232,11938
Lagos,2018,32379,15573,16806
Loulé,2018,71225,34327,36898
Monchique,2018,5464,2729,2735
Olhão,2018,44164,21519,22645
Portimão,2018,58527,27926,30601
São Brás de Alportel,2018,10932,5283,5649
Silves,2018,36807,18005,18802
Tavira,2018,26942,13138,13804
Vila do Bispo,2018,5454,2646,2808
Vila Real de Santo António,2018,18828,8991,9837
Arcos de Valdevez,2017,21001,9565,11436
Caminha,2017,15894,7348,8546
Melgaço,2017,8199,3635,4564
Monção,2017,18006,8131,9875
Paredes de Coura,2017,8682,4153,4529
Ponte da Barca,2017,11287,5233,6054
Ponte de Lima,2017,41532,19448,22084
Valença,2017,13545,6356,7189
Viana do Castelo,2017,85860,40321,45539
Vila Nova de Cerveira,2017,8812,4192,4620
Amares,2017,18377,8881,9496
Barcelos,2017,116674,56046,60628
Braga,2017,187248,88626,98622
Esposende,2017,34430,16343,18087
Terras de Bouro,2017,6559,3147,3412
Vila Verde,2017,46003,21897,24106
Cabeceiras de Basto,2017,15725,7580,8145
Fafe,2017,48769,23123,25646
Guimarães,2017,156327,75506,80821
Mondim de Basto,2017,6646,3217,3429
Póvoa de Lanhoso,2017,21335,10155,11180
Vieira do Minho,2017,12225,5819,6406
Vila Nova de Famalicão,2017,132204,63657,68547
Vizela,2017,23557,11493,12064
Arouca,2017,21454,10301,11153
Espinho,2017,31229,14648,16581
Gondomar,2017,164657,78423,86234
Maia,2017,134607,64023,70584
Matosinhos,2017,173577,81636,91941
Oliveira de Azeméis,2017,66176,31946,34230
Paredes,2017,84420,40882,43538
Porto,2017,234432,106819,127613
Póvoa de Varzim,2017,63430,29750,33680
Santa Maria da Feira,2017,136359,65577,70782
Santo Tirso,2017,68512,32594,35918
São João da Madeira,2017,21879,10186,11693
Trofa,2017,38427,18343,20084
Vale de Cambra,2017,21478,10379,11099
Valongo,2017,93716,44471,49245
Vila do Conde,2017,79969,38249,41720
Vila Nova de Gaia,2017,301840,142959,158881
Boticas,2017,5214,2485,2729
Chaves,2017,38297,18088,20209
Montalegre,2017,9478,4554,4924
Ribeira de Pena,2017,6037,2955,3082
Valpaços,2017,15217,7095,8122
Vila Pouca de Aguiar,2017,12032,5726,6306
Amarante,2017,52891,25085,27806
Baião,2017,18241,8647,9594
Castelo de Paiva,2017,15838,7670,8168
Celorico de Basto,2017,18092,8638,9454
Cinfães,2017,18427,8931,9496
Felgueiras,2017,56357,27166,29191
Lousada,2017,46950,22627,24323
Marco de Canaveses,2017,50110,24031,26079
Paços de Ferreira,2017,55648,27440,28208
Penafiel,2017,69922,33584,36338
Resende,2017,10398,5064,5334
Alijó,2017,10819,5248,5571
Armamar,2017,5811,2719,3092
Carrazeda de Ansiães,2017,5674,2708,2966
Freixo de Espada à Cinta,2017,3421,1607,1814
Lamego,2017,24908,11782,13126
Mesão Frio,2017,3757,1765,1992
Moimenta da Beira,2017,9461,4491,4970
Murça,2017,5442,2612,2830
Penedono,2017,2782,1329,1453
Peso da Régua,2017,15207,7131,8076
Sabrosa,2017,5661,2725,2936
Santa Marta de Penaguião,2017,6407,3063,3344
São João da Pesqueira,2017,7051,3453,3598
Sernancelhe,2017,5496,2633,2863
Tabuaço,2017,5213,2466,2747
Tarouca,2017,7361,3534,3827
Torre de Moncorvo,2017,7210,3431,3779
Vila Nova de Foz Côa,2017,6550,3112,3438
Vila Real,2017,50057,23615,26442
Alfandega da Fé,2017,4513,2175,2338
Bragança,2017,34899,16603,18296
Macedo de Cavaleiros,2017,14559,6901,7658
Miranda do Douro,2017,6703,3261,3442
Mirandela,2017,22060,10467,11593
Mogadouro,2017,8654,4210,4444
Vila Flor,2017,6198,2981,3217
Vimioso,2017,4259,2074,2185
Vinhais,2017,8060,3981,4079
Alcobaça,2017,54577,26252,28325
Alenquer,2017,43186,20848,22338
Arruda dos Vinhos,2017,13610,6603,7007
Bombarral,2017,12502,5970,6532
Cadaval,2017,13374,6429,6945
Caldas da Rainha,2017,50595,23753,26842
Lourinhã,2017,25619,12348,13271
Nazaré,2017,14872,7098,7774
Óbidos,2017,11664,5629,6035
Peniche,2017,26641,12738,13903
Sobral de Monte Agraço,2017,10272,4958,5314
Torres Vedras,2017,80700,38738,41962
Águeda,2017,46108,22085,24023
Albergaria-a-Velha,2017,24740,11914,12826
Anadia,2017,27692,13209,14483
Aveiro,2017,79927,37720,42207
Estarreja,2017,26119,12577,13542
Ílhavo,2017,38406,18179,20227
Murtosa,2017,10297,4936,5361
Oliveira do Bairro,2017,22741,10752,11989
Ovar,2017,54537,26112,28425
Sever do Vouga,2017,11329,5456,5873
Vagos,2017,22527,10764,11763
Arganil,2017,11271,5331,5940
Cantanhede,2017,34637,16362,18275
Coimbra,2017,142039,65862,76177
Condeixa-a-Nova,2017,16813,7797,9016
Figueira da Foz,2017,59210,27846,31364
Góis,2017,3936,1815,2121
Lousã,2017,17041,8177,8864
Mealhada,2017,19515,9271,10244
Mira,2017,12069,5697,6372
Miranda do Corvo,2017,12329,5906,6423
Montemor-o-Velho,2017,24760,11894,12866
Mortágua,2017,9048,4306,4742
Oliveira do Hospital,2017,19650,9408,10242
Pampilhosa da Serra,2017,4125,1896,2229
Penacova,2017,13684,6406,7278
Penela,2017,5523,2601,2922
Soure,2017,17647,8367,9280
Tábua,2017,11328,5355,5973
Vila Nova de Poiares,2017,6908,3243,3665
Alvaiázere,2017,6439,2985,3454
Ansião,2017,11987,5663,6324
Batalha,2017,15351,7392,7959
Castanheira de Pêra,2017,2794,1335,1459
Figueiró dos Vinhos,2017,5508,2614,2894
Leiria,2017,126848,60907,65941
Marinha Grande,2017,38506,18494,20012
Pedrógão Grande,2017,3508,1678,1830
Pombal,2017,51704,24554,27150
Porto de Mós,2017,23154,11207,11947
Aguiar da Beira,2017,5456,2535,2921
Carregal do Sal,2017,9206,4313,4893
Castro Daire,2017,14094,6705,7389
Mangualde,2017,18572,8856,9716
Nelas,2017,13273,6244,7029
Oliveira de Frades,2017,9586,4551,5035
Penalva do Castelo,2017,7407,3537,3870
Santa Comba Dão,2017,10787,5065,5722
São Pedro do Sul,2017,15369,7210,8159
Sátão,2017,11291,5308,5983
Tondela,2017,26412,12409,14003
Vila Nova de Paiva,2017,4756,2265,2491
Viseu,2017,98790,46342,52448
Vouzela,2017,9652,4550,5102
Castelo Branco,2017,53275,25121,28154
Idanha-a-Nova,2017,8694,4123,4571
Oleiros,2017,4962,2349,2613
Penamacor,2017,4899,2412,2487
Proença-a-Nova,2017,7386,3571,3815
Vila Velha de Ródão,2017,3243,1530,1713
Abrantes,2017,35691,17106,18585
Alcanena,2017,12772,6116,6656
Constância,2017,3858,1840,2018
Entroncamento,2017,19880,9386,10494
Ferreira do Zêzere,2017,7902,3716,4186
Mação,2017,6573,3122,3451
Ourém,2017,44222,20590,23632
Sardoal,2017,3635,1735,1900
Sertã,2017,14826,7043,7783
Tomar,2017,37314,17423,19891
Torres Novas,2017,34734,16470,18264
Vila de Rei,2017,3298,1521,1777
Vila Nova da Barquinha,2017,7010,3347,3663
Almeida,2017,6269,2890,3379
Belmonte,2017,6282,3008,3274
Celorico da Beira,2017,6819,3228,3591
Covilhã,2017,47795,22716,25079
Figueira de Castelo Rodrigo,2017,5497,2624,2873
Fornos de Algodres,2017,4620,2165,2455
Fundão,2017,26906,12888,14018
Gouveia,2017,12662,5877,6785
Guarda,2017,40767,19341,21426
Manteigas,2017,3086,1445,1641
Meda,2017,4684,2192,2492
Pinhel,2017,8561,4105,4456
Sabugal,2017,11532,5400,6132
Seia,2017,22599,10665,11934
Trancoso,2017,8734,4116,4618
Alcochete,2017,18597,8946,9651
Almada,2017,175935,82622,93313
Amadora,2017,172324,79987,92337
Barreiro,2017,78030,36629,41401
Cascais,2017,211880,98540,113340
Lisboa,2017,552722,255682,297040
Loures,2017,200652,94822,105830
Mafra,2017,82243,39731,42512
Moita,2017,65094,30713,34381
Montijo,2017,53456,25662,27794
Odivelas,2017,147861,69711,78150
Oeiras,2017,172096,79596,92500
Palmela,2017,66116,31685,34431
Seixal,2017,161934,76491,85443
Sesimbra,2017,50970,24731,26239
Setúbal,2017,122235,57867,64368
Sintra,2017,380125,179301,200824
Vila Franca de Xira,2017,136815,65270,71545
Alcácer do Sal,2017,11626,5604,6022
Grândola,2017,14004,7018,6986
Odemira,2017,27031,14247,12784
Santiago do Cacém,2017,28037,13591,14446
Sines,2017,14179,6828,7351
Aljustrel,2017,8902,4365,4537
Almodôvar,2017,6872,3381,3491
Alvito,2017,2300,1076,1224
Barrancos,2017,1613,776,837
Beja,2017,34206,16494,17712
Castro Verde,2017,7047,3394,3653
Cuba,2017,4525,2171,2354
Ferreira do Alentejo,2017,7710,3757,3953
Mértola,2017,6418,3155,3263
Moura,2017,13678,6616,7062
Ourique,2017,4981,2416,2565
Serpa,2017,14128,6929,7199
Vidigueira,2017,5347,2590,2757
Almeirim,2017,22295,10527,11768
Alpiarça,2017,7055,3348,3707
Azambuja,2017,21220,10569,10651
Benavente,2017,28921,13804,15117
Cartaxo,2017,23200,11067,12133
Chamusca,2017,8872,4255,4617
Coruche,2017,18045,8488,9557
Golegã,2017,5515,2584,2931
Rio Maior,2017,20753,10027,10726
Salvaterra de Magos,2017,21338,10135,11203
Santarém,2017,58773,27680,31093
Alter do Chão,2017,3228,1506,1722
Arronches,2017,2964,1451,1513
Avis,2017,3954,1854,2100
Campo Maior,2017,8216,3960,4256
Castelo de Vide,2017,3217,1519,1698
Crato,2017,3401,1595,1806
Elvas,2017,21335,10134,11201
Fronteira,2017,3056,1421,1635
Gavião,2017,3591,1688,1903
Marvão,2017,3176,1516,1660
Monforte,2017,3042,1434,1608
Nisa,2017,6321,2979,3342
Ponte de Sor,2017,15515,7427,8088
Portalegre,2017,23045,10937,12108
Sousel,2017,4519,2089,2430
Alandroal,2017,5223,2515,2708
Arraiolos,2017,6728,3253,3475
Borba,2017,6689,3281,3408
Estremoz,2017,13047,6202,6845
Évora,2017,54490,25722,28768
Montemor-o-Novo,2017,16183,7749,8434
Mora,2017,4415,2099,2316
Mourão,2017,2430,1212,1218
Portel,2017,5774,2812,2962
Redondo,2017,6489,3167,3322
Reguengos de Monsaraz,2017,10063,4854,5209
Vendas Novas,2017,11326,5446,5880
Viana do Alentejo,2017,5449,2592,2857
Vila Viçosa,2017,7648,3703,3945
Albufeira,2017,43087,20934,22153
Alcoutim,2017,2641,1285,1356
Aljezur,2017,5742,2854,2888
Castro Marim,2017,6445,3169,3276
Faro,2017,66704,31519,35185
Lagoa (Algarve),2017,23044,11181,11863
Lagos,2017,32011,15402,16609
Loulé,2017,70678,34088,36590
Monchique,2017,5502,2745,2757
Olhão,2017,44158,21484,22674
Portimão,2017,57783,27577,30206
São Brás de Alportel,2017,10865,5254,5611
Silves,2017,36596,17900,18696
Tavira,2017,26714,13006,13708
Vila do Bispo,2017,5383,2615,2768
Vila Real de Santo António,2017,18760,8954,9806
Arcos de Valdevez,2016,21150,9637,11513
Caminha,2016,15986,7370,8616
Melgaço,2016,8359,3715,4644
Monção,2016,18119,8174,9945
Paredes de Coura,2016,8729,4174,4555
Ponte da Barca,2016,11383,5267,6116
Ponte de Lima,2016,41782,19566,22216
Valença,2016,13601,6365,7236
Viana do Castelo,2016,86064,40415,45649
Vila Nova de Cerveira,2016,8853,4209,4644
Amares,2016,18360,8856,9504
Barcelos,2016,116959,56188,60771
Braga,2016,185616,87867,97749
Esposende,2016,34300,16252,18048
Terras de Bouro,2016,6635,3179,3456
Vila Verde,2016,46141,21954,24187
Cabeceiras de Basto,2016,15845,7663,8182
Fafe,2016,48930,23176,25754
Guimarães,2016,156162,75443,80719
Mondim de Basto,2016,6754,3268,3486
Póvoa de Lanhoso,2016,21357,10142,11215
Vieira do Minho,2016,12334,5873,6461
Vila Nova de Famalicão,2016,132133,63632,68501
Vizela,2016,23488,11461,12027
Arouca,2016,21558,10363,11195
Espinho,2016,31181,14623,16558
Gondomar,2016,164814,78568,86246
Maia,2016,134481,63977,70504
Matosinhos,2016,173480,81621,91859
Oliveira de Azeméis,2016,66250,31961,34289
Paredes,2016,84574,41002,43572
Porto,2016,233818,106501,127317
Póvoa de Varzim,2016,63238,29662,33576
Santa Maria da Feira,2016,136410,65593,70817
Santo Tirso,2016,68894,32792,36102
São João da Madeira,2016,21798,10145,11653
Trofa,2016,38405,18375,20030
Vale de Cambra,2016,21615,10440,11175
Valongo,2016,93551,44427,49124
Vila do Conde,2016,79758,38155,41603
Vila Nova de Gaia,2016,301015,142557,158458
Boticas,2016,5262,2504,2758
Chaves,2016,38591,18262,20329
Montalegre,2016,9551,4583,4968
Ribeira de Pena,2016,6078,2975,3103
Valpaços,2016,15451,7211,8240
Vila Pouca de Aguiar,2016,12152,5796,6356
Amarante,2016,53258,25279,27979
Baião,2016,18517,8792,9725
Castelo de Paiva,2016,15921,7713,8208
Celorico de Basto,2016,18374,8807,9567
Cinfães,2016,18693,9050,9643
Felgueiras,2016,56475,27226,29249
Lousada,2016,46866,22636,24230
Marco de Canaveses,2016,50477,24252,26225
Paços de Ferreira,2016,55719,27469,28250
Penafiel,2016,70103,33683,36420
Resende,2016,10509,5113,5396
Alijó,2016,10930,5311,5619
Armamar,2016,5848,2737,3111
Carrazeda de Ansiães,2016,5738,2751,2987
Freixo de Espada à Cinta,2016,3475,1630,1845
Lamego,2016,25094,11886,13208
Mesão Frio,2016,3853,1811,2042
Moimenta da Beira,2016,9505,4502,5003
Murça,2016,5484,2628,2856
Penedono,2016,2809,1343,1466
Peso da Régua,2016,15433,7246,8187
Sabrosa,2016,5722,2765,2957
Santa Marta de Penaguião,2016,6511,3108,3403
São João da Pesqueira,2016,7141,3492,3649
Sernancelhe,2016,5515,2633,2882
Tabuaço,2016,5367,2550,2817
Tarouca,2016,7415,3567,3848
Torre de Moncorvo,2016,7323,3493,3830
Vila Nova de Foz Côa,2016,6651,3149,3502
Vila Real,2016,50216,23720,26496
Alfandega da Fé,2016,4570,2203,2367
Bragança,2016,34892,16604,18288
Macedo de Cavaleiros,2016,14650,6950,7700
Miranda do Douro,2016,6808,3307,3501
Mirandela,2016,22296,10581,11715
Mogadouro,2016,8743,4263,4480
Vila Flor,2016,6237,3002,3235
Vimioso,2016,4324,2106,2218
Vinhais,2016,8163,4021,4142
Alcobaça,2016,54862,26392,28470
Alenquer,2016,43103,20838,22265
Arruda dos Vinhos,2016,13571,6597,6974
Bombarral,2016,12571,6005,6566
Cadaval,2016,13512,6501,7011
Caldas da Rainha,2016,50714,23776,26938
Lourinhã,2016,25621,12358,13263
Nazaré,2016,14905,7122,7783
Óbidos,2016,11681,5639,6042
Peniche,2016,26777,12831,13946
Sobral de Monte Agraço,2016,10249,4951,5298
Torres Vedras,2016,80455,38615,41840
Águeda,2016,46214,22131,24083
Albergaria-a-Velha,2016,24760,11939,12821
Anadia,2016,27872,13301,14571
Aveiro,2016,79512,37466,42046
Estarreja,2016,26256,12637,13619
Ílhavo,2016,38348,18160,20188
Murtosa,2016,10293,4933,5360
Oliveira do Bairro,2016,22737,10759,11978
Ovar,2016,54581,26157,28424
Sever do Vouga,2016,11457,5517,5940
Vagos,2016,22534,10765,11769
Arganil,2016,11400,5397,6003
Cantanhede,2016,34877,16476,18401
Coimbra,2016,142046,66002,76044
Condeixa-a-Nova,2016,16829,7806,9023
Figueira da Foz,2016,59691,28063,31628
Góis,2016,3992,1835,2157
Lousã,2016,17093,8196,8897
Mealhada,2016,19652,9347,10305
Mira,2016,12115,5715,6400
Miranda do Corvo,2016,12478,5976,6502
Montemor-o-Velho,2016,24975,12000,12975
Mortágua,2016,9124,4362,4762
Oliveira do Hospital,2016,19774,9457,10317
Pampilhosa da Serra,2016,4163,1911,2252
Penacova,2016,13913,6509,7404
Penela,2016,5596,2645,2951
Soure,2016,17900,8476,9424
Tábua,2016,11442,5390,6052
Vila Nova de Poiares,2016,6989,3280,3709
Alvaiázere,2016,6540,3039,3501
Ansião,2016,12198,5753,6445
Batalha,2016,15373,7413,7960
Castanheira de Pêra,2016,2845,1353,1492
Figueiró dos Vinhos,2016,5583,2646,2937
Leiria,2016,126699,60851,65848
Marinha Grande,2016,38431,18475,19956
Pedrógão Grande,2016,3568,1711,1857
Pombal,2016,52214,24826,27388
Porto de Mós,2016,23310,11284,12026
Aguiar da Beira,2016,5519,2567,2952
Carregal do Sal,2016,9297,4368,4929
Castro Daire,2016,14209,6766,7443
Mangualde,2016,18758,8960,9798
Nelas,2016,13369,6307,7062
Oliveira de Frades,2016,9671,4594,5077
Penalva do Castelo,2016,7471,3570,3901
Santa Comba Dão,2016,10878,5107,5771
São Pedro do Sul,2016,15528,7281,8247
Sátão,2016,11444,5398,6046
Tondela,2016,26697,12558,14139
Vila Nova de Paiva,2016,4790,2275,2515
Viseu,2016,98809,46317,52492
Vouzela,2016,9784,4622,5162
Castelo Branco,2016,53654,25300,28354
Idanha-a-Nova,2016,8816,4180,4636
Oleiros,2016,5048,2398,2650
Penamacor,2016,4962,2447,2515
Proença-a-Nova,2016,7504,3621,3883
Vila Velha de Ródão,2016,3272,1538,1734
Abrantes,2016,36183,17333,18850
Alcanena,2016,12915,6207,6708
Constância,2016,3892,1850,2042
Entroncamento,2016,19952,9419,10533
Ferreira do Zêzere,2016,7990,3773,4217
Mação,2016,6700,3179,3521
Ourém,2016,44498,20720,23778
Sardoal,2016,3678,1761,1917
Sertã,2016,14868,7056,7812
Tomar,2016,37792,17680,20112
Torres Novas,2016,35059,16634,18425
Vila de Rei,2016,3345,1533,1812
Vila Nova da Barquinha,2016,7031,3368,3663
