concelho.y,ano,Pop,H,M
Arcos de Valdevez,2018,20851,9490,11361
Caminha,2018,15852,7352,8500
Melgaço,2018,8073,3587,4486
Monção,2018,17900,8103,9797
Paredes de Coura,2018,8671,4151,4520
Ponte da Barca,2018,11213,5203,6010
Ponte de Lima,2018,41393,19413,21980
Valença,2018,13515,6339,7176
Viana do Castelo,2018,85693,40260,45433
Vila Nova de Cerveira,2018,8824,4211,4613
Amares,2018,18392,8913,9479
Barcelos,2018,116635,56015,60620
Braga,2018,189450,89705,99745
Esposende,2018,34572,16435,18137
Terras de Bouro,2018,6475,3117,3358
Vila Verde,2018,45917,21861,24056
Cabeceiras de Basto,2018,15640,7547,8093
Fafe,2018,48585,23071,25514
Guimarães,2018,156597,75629,80968
Mondim de Basto,2018,6572,3171,3401
Póvoa de Lanhoso,2018,21359,10176,11183
Vieira do Minho,2018,12093,5751,6342
Vila Nova de Famalicão,2018,132516,63813,68703
Vizela,2018,23652,11542,12110
Arouca,2018,21357,10261,11096
Espinho,2018,31227,14632,16595
Gondomar,2018,164519,78273,86246
Maia,2018,134839,64088,70751
Matosinhos,2018,173752,81700,92052
Oliveira de Azeméis,2018,66146,31943,34203
Paredes,2018,84307,40814,43493
Porto,2018,235337,107228,128109
Póvoa de Varzim,2018,63739,29881,33858
Santa Maria da Feira,2018,136393,65608,70785
Santo Tirso,2018,68235,32466,35769
São João da Madeira,2018,22042,10267,11775
Trofa,2018,38447,18348,20099
Vale de Cambra,2018,21356,10314,11042
Valongo,2018,93983,44588,49395
Vila do Conde,2018,80232,38359,41873
Vila Nova de Gaia,2018,302841,143346,159495
Boticas,2018,5155,2455,2700
Chaves,2018,38007,17958,20049
Montalegre,2018,9388,4519,4869
Ribeira de Pena,2018,5978,2924,3054
Valpaços,2018,15024,7003,8021
Vila Pouca de Aguiar,2018,11938,5681,6257
Amarante,2018,52548,24868,27680
Baião,2018,18004,8537,9467
Castelo de Paiva,2018,15739,7625,8114
Celorico de Basto,2018,17867,8506,9361
Cinfães,2018,18203,8846,9357
Felgueiras,2018,56256,27115,29141
Lousada,2018,47038,22667,24371
Marco de Canaveses,2018,49764,23846,25918
Paços de Ferreira,2018,55684,27423,28261
Penafiel,2018,69828,33497,36331
Resende,2018,10272,5003,5269
Alijó,2018,10710,5213,5497
Armamar,2018,5759,2694,3065
Carrazeda de Ansiães,2018,5621,2675,2946
Freixo de Espada à Cinta,2018,3372,1592,1780
Lamego,2018,24711,11679,13032
Mesão Frio,2018,3668,1724,1944
Moimenta da Beira,2018,9398,4459,4939
Murça,2018,5391,2598,2793
Penedono,2018,2768,1324,1444
Peso da Régua,2018,14976,7024,7952
Sabrosa,2018,5588,2681,2907
Santa Marta de Penaguião,2018,6293,2998,3295
São João da Pesqueira,2018,6966,3408,3558
Sernancelhe,2018,5525,2652,2873
Tabuaço,2018,5087,2404,2683
Tarouca,2018,7324,3511,3813
Torre de Moncorvo,2018,7063,3351,3712
Vila Nova de Foz Côa,2018,6457,3070,3387
Vila Real,2018,49875,23484,26391
Alfandega da Fé,2018,4478,2164,2314
Bragança,2018,34880,16599,18281
Macedo de Cavaleiros,2018,14458,6861,7597
Miranda do Douro,2018,6633,3226,3407
Mirandela,2018,21817,10360,11457
Mogadouro,2018,8571,4158,4413
Vila Flor,2018,6140,2955,3185
Vimioso,2018,4251,2083,2168
Vinhais,2018,7965,3929,4036
Alcobaça,2018,54371,26111,28260
Alenquer,2018,43335,20896,22439
Arruda dos Vinhos,2018,13637,6617,7020
Bombarral,2018,12446,5947,6499
Cadaval,2018,13247,6362,6885
Caldas da Rainha,2018,50554,23743,26811
Lourinhã,2018,25657,12345,13312
Nazaré,2018,14854,7071,7783
Óbidos,2018,11657,5616,6041
Peniche,2018,26510,12658,13852
Sobral de Monte Agraço,2018,10313,4957,5356
Torres Vedras,2018,81018,38911,42107
Águeda,2018,45946,21998,23948
Albergaria-a-Velha,2018,24748,11931,12817
Anadia,2018,27523,13125,14398
Aveiro,2018,80526,38020,42506
Estarreja,2018,26143,12600,13543
Ílhavo,2018,38484,18205,20279
Murtosa,2018,10316,4955,5361
Oliveira do Bairro,2018,22819,10802,12017
Ovar,2018,54559,26108,28451
Sever do Vouga,2018,11218,5399,5819
Vagos,2018,22622,10810,11812
Arganil,2018,11180,5287,5893
Cantanhede,2018,34457,16257,18200
Coimbra,2018,142114,65800,76314
Condeixa-a-Nova,2018,16755,7767,8988
Figueira da Foz,2018,58927,27713,31214
Góis,2018,3868,1773,2095
Lousã,2018,16966,8133,8833
Mealhada,2018,19400,9212,10188
Mira,2018,12033,5685,6348
Miranda do Corvo,2018,12182,5835,6347
Montemor-o-Velho,2018,24588,11787,12801
Mortágua,2018,9017,4289,4728
Oliveira do Hospital,2018,19497,9328,10169
Pampilhosa da Serra,2018,4089,1875,2214
