concelho.y,ano,Pop,H,M
Proença-a-Nova,2012,8116,3863,4253
Sertã,2012,15612,7393,8219
Vila de Rei,2012,3453,1568,1885
Fornos de Algodres,2012,4920,2290,2630
Gouveia,2012,13655,6277,7378
Seia,2012,24121,11452,12669
Almeida,2012,6835,3188,3647
Celorico da Beira,2012,7512,3514,3998
Figueira de Castelo Rodrigo,2012,6162,2952,3210
Guarda,2012,41549,19772,21777
Manteigas,2012,3347,1579,1768
Meda,2012,5026,2387,2639
Pinhel,2012,9334,4424,4910
Sabugal,2012,12146,5692,6454
Trancoso,2012,9666,4579,5087
Castelo Branco,2012,55005,26091,28914
Idanha-a-Nova,2012,9339,4442,4897
Penamacor,2012,5443,2653,2790
Vila Velha de Ródão,2012,3432,1594,1838
Belmonte,2012,6723,3233,3490
Covilhã,2012,50486,24039,26447
Fundão,2012,28560,13643,14917
Alcobaça,2012,56037,27034,29003
Alenquer,2012,43194,20989,22205
Arruda dos Vinhos,2012,13936,6800,7136
Bombarral,2012,13011,6271,6740
Cadaval,2012,14105,6796,7309
Caldas da Rainha,2012,51793,24471,27322
Lourinhã,2012,25705,12423,13282
Nazaré,2012,14813,7033,7780
Óbidos,2012,11757,5701,6056
Peniche,2012,27404,13212,14192
Sobral de Monte Agraço,2012,10193,5007,5186
Torres Vedras,2012,79426,38233,41193
Abrantes,2012,38201,18319,19882
Alcanena,2012,13567,6492,7075
Constância,2012,4053,1918,2135
Entroncamento,2012,20421,9661,10760
Ferreira do Zêzere,2012,8460,4001,4459
Ourém,2012,45638,21510,24128
Sardoal,2012,3913,1903,2010
Tomar,2012,39666,18753,20913
Torres Novas,2012,36338,17283,19055
Vila Nova da Barquinha,2012,7334,3536,3798
Amadora,2012,175631,82344,93287
Cascais,2012,208321,97524,110797
Lisboa,2012,524282,239576,284706
Loures,2012,208042,99360,108682
Mafra,2012,79297,38503,40794
Odivelas,2012,148791,70469,78322
Oeiras,2012,172822,80197,92625
Sintra,2012,379963,181293,198670
Vila Franca de Xira,2012,138710,66548,72162
Alcochete,2012,18175,8736,9439
Almada,2012,172206,81363,90843
Barreiro,2012,77941,36730,41211
Moita,2012,65831,31423,34408
Montijo,2012,53233,25728,27505
Palmela,2012,63694,30723,32971
Seixal,2012,161436,77195,84241
Sesimbra,2012,50214,24652,25562
Setúbal,2012,119799,57086,62713
Alcácer do Sal,2012,12716,6154,6562
Grândola,2012,14954,7663,7291
Odemira,2012,25835,12986,12849
