concelho.y,ano,Pop,H,M
Cadaval,2010,14269,6900,7369
Caldas da Rainha,2010,51798,24550,27248
Lourinhã,2010,25768,12532,13236
Nazaré,2010,15184,7259,7925
Óbidos,2010,11788,5735,6053
Peniche,2010,27811,13483,14328
Sobral de Monte Agraço,2010,10173,5013,5160
Torres Vedras,2010,79552,38420,41132
Abrantes,2010,39464,19020,20444
Alcanena,2010,13889,6705,7184
Constância,2010,4052,1943,2109
Entroncamento,2010,20217,9633,10584
Ferreira do Zêzere,2010,8634,4102,4532
Ourém,2010,46001,21698,24303
Sardoal,2010,3946,1928,2018
Tomar,2010,40786,19328,21458
Torres Novas,2010,36812,17558,19254
Vila Nova da Barquinha,2010,7320,3559,3761
Amadora,2010,175141,82398,92743
Cascais,2010,206449,96870,109579
Lisboa,2010,548422,251230,297192
Loures,2010,204987,98291,106696
Mafra,2010,76671,37325,39346
Odivelas,2010,144444,68817,75627
Oeiras,2010,172191,80208,91983
Sintra,2010,377680,180702,196978
Vila Franca de Xira,2010,136875,65827,71048
Alcochete,2010,17564,8495,9069
Almada,2010,174237,82640,91597
Barreiro,2010,78913,37455,41458
Moita,2010,66056,31724,34332
Montijo,2010,51207,24725,26482
Palmela,2010,62876,30515,32361
Seixal,2010,158285,75982,82303
Sesimbra,2010,49506,24326,25180
Setúbal,2010,121257,58060,63197
Alcácer do Sal,2010,13065,6341,6724
Grândola,2010,14876,7543,7333
Odemira,2010,26124,13204,12920
Santiago do Cacém,2010,29792,14607,15185
Sines,2010,14255,7039,7216
Alter do Chão,2010,3588,1692,1896
Arronches,2010,3178,1542,1636
Avis,2010,4583,2184,2399
Campo Maior,2010,8469,4110,4359
Castelo de Vide,2010,3423,1636,1787
Crato,2010,3740,1742,1998
Elvas,2010,23110,11113,11997
Fronteira,2010,3424,1635,1789
Gavião,2010,4156,1969,2187
Marvão,2010,3529,1727,1802
Monforte,2010,3337,1556,1781
Mora,2010,4995,2428,2567
Nisa,2010,7487,3550,3937
Ponte de Sor,2010,16760,8110,8650
Portalegre,2010,24976,11993,12983
Alandroal,2010,5869,2844,3025
Arraiolos,2010,7372,3577,3795
Borba,2010,7348,3626,3722
Estremoz,2010,14326,6816,7510
Évora,2010,56653,26849,29804
Montemor-o-Novo,2010,17478,8494,8984
Mourão,2010,2665,1316,1349
Portel,2010,6439,3158,3281
Redondo,2010,7055,3449,3606
Reguengos de Monsaraz,2010,10846,5286,5560
Sousel,2010,5098,2386,2712
Vendas Novas,2010,11853,5720,6133
Viana do Alentejo,2010,5758,2788,2970
Vila Viçosa,2010,8338,4068,4270
Aljustrel,2010,9277,4589,4688
Almodôvar,2010,7459,3681,3778
Alvito,2010,2517,1205,1312
Barrancos,2010,1836,892,944
Beja,2010,35904,17430,18474
Castro Verde,2010,7289,3573,3716
Cuba,2010,4884,2384,2500
Ferreira do Alentejo,2010,8280,4037,4243
Mértola,2010,7304,3612,3692
Moura,2010,15176,7446,7730
Ourique,2010,5421,2667,2754
Serpa,2010,15676,7656,8020
Vidigueira,2010,5939,2919,3020
Almeirim,2010,23380,11105,12275
Alpiarça,2010,7715,3706,4009
Azambuja,2010,21850,11039,10811
Benavente,2010,28999,14153,14846
Cartaxo,2010,24506,11866,12640
Chamusca,2010,10140,4895,5245
Coruche,2010,20001,9548,10453
Golegã,2010,5469,2563,2906
Rio Maior,2010,21220,10269,10951
Salvaterra de Magos,2010,22191,10652,11539
Santarém,2010,62309,29499,32810
Albufeira,2010,40796,20010,20786
Alcoutim,2010,2930,1462,1468
Aljezur,2010,5895,2921,2974
Castro Marim,2010,6755,3361,3394
Faro,2010,64600,30951,33649
Lagoa (Algarve),2010,22985,11303,11682
Lagos,2010,31060,15102,15958
Loulé,2010,70659,34467,36192
Monchique,2010,6077,3062,3015
Olhão,2010,45401,22183,23218
Portimão,2010,55654,26890,28764
São Brás de Alportel,2010,10671,5233,5438
Silves,2010,37161,18560,18601
Tavira,2010,26215,12847,13368
Vila do Bispo,2010,5269,2633,2636
Vila Real de Santo António,2010,19176,9160,10016
